Ville,Pays,1 Pair of Jeans (Levis 501 Or Similar),1 Pair of Men Leather Business Shoes,1 Pair of Nike Running Shoes (Mid-Range),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",Apples (1kg),Average Monthly Net Salary (After Tax),Banana (1kg),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
Acheres,France,78.0,90.0,73.75,31.67,3.19,0.0,1.92,169.22
Agen,France,75.0,74.0,75.0,15.0,2.5,0.0,2.0,87.5
Ajaccio,France,100.0,0.0,100.0,0.0,5.0,0.0,2.5,183.66
Albertville,France,50.0,133.0,101.71,37.83,2.1,0.0,2.14,246.03
Albi,France,77.5,66.0,56.0,23.0,2.88,0.0,1.5,80.0
Ambert,France,87.5,156.67,91.67,38.75,2.76,0.0,2.29,188.89
Amiens,France,52.5,70.0,73.75,28.0,2.02,0.0,1.8,119.39
Angers,France,70.0,107.5,85.62,32.0,2.23,0.0,1.97,135.83
Angouleme,France,50.0,70.0,82.5,27.5,1.5,0.0,1.7,180.32
Annecy,France,100.43,133.0,101.71,37.0,2.49,0.0,2.14,193.6
Annemasse,France,100.0,120.0,100.0,29.99,2.66,0.0,1.96,170.0
Antibes,France,95.4,163.0,100.0,41.25,2.83,0.0,2.17,223.94
Antony,France,101.59,140.37,108.0,42.33,3.12,0.0,2.06,223.05
Arrest,France,101.59,140.37,108.0,42.33,3.12,0.0,2.06,223.05
Aurillac,France,100.43,133.0,101.71,37.83,2.49,0.0,2.14,246.03
Auxerre,France,101.59,140.37,108.0,42.33,2.0,0.0,1.3,223.05
Avignon,France,80.0,133.0,101.71,30.0,2.49,0.0,1.84,202.26
Bastia,France,90.0,150.0,150.0,0.0,2.9,0.0,2.0,284.69
Belfort,France,100.43,133.0,101.71,37.83,2.49,0.0,2.14,246.03
Bergerac,France,99.17,100.0,104.14,35.66,2.0,0.0,2.0,100.0
Besancon,France,62.8,120.0,76.67,20.0,2.65,0.0,1.74,100.0
Bethune,France,78.0,86.25,68.33,31.67,2.66,0.0,1.92,160.0
Beziers,France,91.67,124.0,99.17,39.83,2.92,0.0,2.05,161.71
Biarritz,France,88.75,124.83,85.62,37.33,2.77,0.0,2.0,197.0
Bobigny,France,78.0,90.0,73.75,31.67,3.12,0.0,1.92,169.22
Bordeaux,France,88.75,124.83,85.62,39.14,2.88,0.0,2.0,219.71
Bourges,France,100.43,133.0,101.71,37.83,2.49,0.0,2.14,246.03
Bourgoin-Jallieu,France,58.5,45.0,45.0,25.0,2.0,0.0,1.74,247.92
Brest,France,50.0,80.0,62.5,27.5,2.38,0.0,1.82,154.92
Caen,France,94.75,126.67,77.5,27.5,2.0,0.0,1.7,147.86
Cannes,France,76.67,133.33,65.0,38.75,2.76,0.0,2.29,205.42
Cergy,France,78.0,90.0,73.75,31.67,2.99,0.0,1.92,169.22
Cerise,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalon-sur-Saône,France,62.8,137.5,76.67,30.0,2.09,0.0,1.74,247.92
Chambery,France,100.43,133.0,100.0,37.83,2.49,0.0,2.14,110.0
Chamonix,France,62.8,120.0,76.67,30.0,2.65,0.0,1.74,247.92
Champigny-sur-Marne,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chanteloup-en-Brie,France,70.0,125.0,100.0,42.33,2.5,0.0,1.7,70.0
Chartres,France,78.0,86.0,73.75,31.67,3.19,0.0,1.92,169.22
Chateaubriant,France,80.0,135.0,86.0,51.33,3.0,0.0,1.75,147.35
Chateauroux,France,105.0,160.0,82.5,27.5,2.62,0.0,1.7,180.32
Chatou,France,70.0,140.37,65.0,30.0,3.12,0.0,2.0,191.11
Cherbourg,France,69.0,0.0,69.0,30.0,0.0,0.0,0.0,0.0
Cholet,France,88.75,124.83,85.62,39.14,2.25,0.0,1.9,219.71
Clamart,France,80.0,140.37,108.0,42.33,2.83,0.0,1.7,154.55
Clermont-Ferrand,France,60.0,150.0,85.0,37.5,2.76,0.0,2.0,150.19
Colmar,France,50.0,110.0,77.5,25.0,1.45,0.0,1.99,175.0
Corsica,France,0.0,0.0,0.0,0.0,8.82,0.0,4.41,0.0
Courbevoie,France,101.59,100.0,108.0,42.33,2.83,0.0,2.0,100.0
Dijon,France,92.5,110.0,77.5,27.5,2.64,0.0,2.0,220.14
Dinan,France,105.0,160.0,82.5,27.5,2.62,0.0,1.7,180.32
Divonne les Bains,France,160.0,200.0,120.0,40.0,2.8,0.0,0.0,0.0
Douai,France,28.0,45.0,30.0,30.0,3.19,0.0,1.92,169.22
Dunkirk (Dunkerque),France,101.59,140.37,108.0,42.33,3.12,0.0,2.06,223.05
Evry,France,101.59,140.37,108.0,42.33,3.12,0.0,1.5,223.05
Fayence,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferney-Voltaire,France,50.0,100.0,80.0,25.0,2.5,0.0,2.5,0.0
Fontainebleau,France,78.0,90.0,73.75,31.67,3.19,0.0,1.92,169.22
Fontenay-le-Fleury,France,101.59,140.37,108.0,42.33,3.12,0.0,2.06,223.05
Grenoble,France,62.8,137.5,76.67,30.0,2.65,0.0,1.74,247.92
Gueret,France,100.43,133.0,101.71,37.83,2.49,900.0,1.75,90.0
Guipry,France,105.0,160.0,82.5,27.5,2.62,0.0,1.7,180.32
Guyancourt,France,80.0,135.0,86.0,42.33,3.0,0.0,1.75,147.35
Hossegor,France,88.75,124.83,85.62,39.14,2.88,0.0,2.0,219.71
Ivry-sur-Seine,France,101.59,120.0,90.0,42.33,1.55,0.0,2.06,223.05
La Courneuve,France,101.59,140.37,50.0,20.0,2.0,0.0,1.0,223.05
La Garenne-Colombes,France,78.0,90.0,73.75,31.67,3.12,0.0,2.0,169.22
La Rochelle,France,60.0,193.33,83.33,27.5,3.0,0.0,1.5,147.35
Lannion,France,60.0,160.0,80.0,27.5,2.62,0.0,1.7,180.32
Le Creusot,France,100.43,60.0,50.0,20.0,2.0,0.0,2.0,200.0
Le Havre,France,78.0,45.0,70.0,25.0,2.15,0.0,1.8,169.22
Le Mans,France,101.59,120.0,100.0,42.33,3.12,0.0,2.06,153.0
Les Ulis,France,101.59,140.37,108.0,42.33,1.99,0.0,1.6,223.05
Lille,France,78.0,90.0,73.75,31.67,3.19,0.0,1.92,169.22
Limoges,France,105.0,70.0,60.0,23.33,2.62,0.0,1.7,178.75
Lorient,France,100.0,103.33,82.5,27.5,2.62,0.0,1.7,150.0
Lourdes,France,0.0,0.0,0.0,0.0,2.1,0.0,1.99,0.0
Lyon,France,100.43,133.0,101.71,37.83,2.49,0.0,2.14,246.03
Manosque,France,90.0,80.0,80.0,41.25,1.67,0.0,2.0,113.62
Marmande,France,0.0,120.0,90.0,50.0,0.0,0.0,1.99,0.0
Marseille,France,91.67,124.0,99.17,39.83,2.92,0.0,2.05,161.71
Massy,France,101.59,135.0,108.0,50.0,3.0,0.0,1.84,187.69
Meaux,France,101.59,140.37,108.0,42.33,3.12,0.0,1.3,223.05
Melun,France,78.0,90.0,73.75,31.67,3.19,0.0,1.92,169.22
Merignac,France,88.75,124.83,85.62,39.14,2.83,0.0,2.0,164.76
Metz,France,73.33,140.37,80.0,20.0,1.5,0.0,0.99,132.05
Mont-de-Marsan,France,99.17,131.67,104.14,35.66,2.5,0.0,2.0,85.0
Montceau,France,62.8,137.5,76.67,30.0,2.65,0.0,1.74,247.92
Montpellier,France,87.5,156.67,91.67,38.75,2.76,0.0,2.29,225.56
Mulhouse,France,65.67,115.8,68.17,33.75,3.5,0.0,2.17,162.11
Nancy,France,92.5,110.0,77.5,33.75,2.25,0.0,1.55,220.14
Nanterre,France,75.0,120.0,80.0,42.33,2.5,0.0,1.99,223.05
Nantes,France,88.75,124.83,82.5,27.5,2.62,0.0,1.7,180.32
